"year","FIPS","grade","subject","female","lep","sped","age","white","black","hispanic","asian","amind","unclass","freelunch","redlunch","misslunch","books_125","books_26p","books_multmiss","lang_nr","lang_st","lang_mt","lang_om","score_000000","score_100000","score_010000","score_001000","score_000100","score_000010","score_000001","score_110000","score_101000","score_100100","score_100010","score_100001","score_011000","score_010100","score_010010","score_010001","score_001100","score_001010","score_001001","score_000110","score_000101","score_000011","score_111000","score_110100","score_110010","score_110001","score_101100","score_101010","score_101001","score_100110","score_100101","score_100011","score_011100","score_011010","score_011001","score_010110","score_010101","score_010011","score_001110","score_001101","score_001011","score_000111","score_111100","score_111010","score_111001","score_110110","score_110101","score_110011","score_101110","score_101101","score_101011","score_100111","score_011110","score_011101","score_011011","score_010111","score_001111","score_111110","score_111101","score_111011","score_110111","score_101111","score_011111","score_111111","rank"
1990,"Alabama",8,"math",0.4981613,0.0011656,0.0423772,14.1754,0.6438388,0.2892943,0.0457521,0.0105778,0.010537,0,,,,0.0582736,0.8963364,0.04539,0.8250555,0.1431962,0.0244706,0.0065764,252.2738,253.4201,,250.3255,249.6107,254.5222,250.0784,,252.7634,250.7817,255.4221,253.1437,,,,,248.0332,252.5836,249.3571,251.3916,247.4818,252.2108,,,,,250.3411,254.7364,252.6729,252.3904,250.5719,255.0562,,,,,,,249.8505,246.9813,251.4698,249.2148,,,,,,,251.9388,250.2808,254.5562,252.1161,,,,,248.7162,,,,,251.8136,,,1
1990,"Arizona",8,"math",0.4980075,0.041443,0.0344638,14.05816,0.5915116,0.0326197,0.2892428,0.0200377,0.0658215,0.0007667,,,,0.0540421,0.8931873,0.0527706,0.5350556,0.3210763,0.1348754,0.006252,259.4417,259.7731,,258.9734,256.4731,260.2391,259.4811,,258.3636,256.7426,260.5912,259.3819,,,,,256.2149,259.7751,258.9856,257.2041,256.5907,260.3433,,,,,255.6908,259.1899,258.1624,257.4955,256.4241,260.1898,,,,,,,256.965,256.2959,259.8417,257.3877,,,,,,,256.4433,255.5277,258.9769,257.1679,,,,,257.0938,,,,,256.2709,,,2
1990,"Arkansas",8,"math",0.4976781,0.0027462,0.0332424,14.09448,0.719356,0.2156505,0.0394752,0.0098815,0.0156368,0,,,,0.0479405,0.9071866,0.0448728,0.8048322,0.1601691,0.0318372,0.002812,255.7719,254.2922,,253.8817,252.7561,257.0187,253.5927,,253.7211,251.3468,255.3385,253.9738,,,,,251.2481,255.1307,252.8569,253.8193,250.6751,254.7107,,,,,250.9898,254.7562,253.5526,252.2642,251.1183,254.9577,,,,,,,252.3269,250.1766,253.9681,251.6652,,,,,,,251.9014,250.8792,254.5248,251.9877,,,,,251.1676,,,,,251.7426,,,3
1990,"California",8,"math",0.4851901,0.0461781,0.0398402,13.91358,0.4455821,0.0669354,0.3490636,0.1203579,0.0157366,0.0023244,,,,0.056963,0.8907687,0.0522682,0.4402751,0.3428385,0.2092562,0.0068836,256.1305,257.9861,,255.8362,253.3694,255.1383,257.4065,,255.9888,255.4039,257.3395,257.6398,,,,,253.2537,254.8351,256.4847,252.7768,254.719,256.5031,,,,,253.8446,255.3905,255.8265,255.0522,255.1252,256.9998,,,,,,,252.6421,254.0515,255.6016,254.1832,,,,,,,253.5048,253.7201,255.2328,254.7736,,,,,253.5145,,,,,253.3805,,,4
1990,"Colorado",8,"math",0.4846311,0.0038278,0.0512072,14.02928,0.732021,0.0433611,0.1858093,0.0200673,0.0183795,0.0003618,,,,0.0229423,0.9523975,0.0246602,0.6225224,0.3032328,0.0679681,0.0062767,267.1565,263.8757,,265.3061,264.8343,267.5964,266.1125,,262.2437,261.6344,264.3046,263.412,,,,,263.3252,265.7421,264.9106,265.2712,263.8562,266.5269,,,,,260.3655,262.6926,262.0247,262.061,261.2285,263.8277,,,,,,,263.7591,262.9304,265.3315,264.2848,,,,,,,260.7958,260.1635,262.4578,261.6436,,,,,263.3588,,,,,260.5818,,,5
1990,"Connecticut",8,"math",0.51714,0.0102068,0.0395183,13.88423,0.7712756,0.1044115,0.095989,0.0200066,0.0054552,0.0028622,,,,0.0304333,0.9370092,0.0325575,0.6785139,0.2060093,0.1096115,0.0055142,269.8468,265.881,,268.2308,267.0734,268.4914,269.113,,265.1173,263.2471,264.4993,265.9385,,,,,265.7942,266.8586,267.9691,266.2148,266.4185,267.6424,,,,,262.7172,263.7772,265.1563,262.3546,263.3659,264.5547,,,,,,,264.8963,265.5617,266.5281,265.4582,,,,,,,261.8352,262.8169,263.8145,262.4654,,,,,264.5995,,,,,261.9277,,,6
1990,"Delaware",8,"math",0.4843521,0.0030252,0.0530051,14.01787,0.6770782,0.2434434,0.0535868,0.0133837,0.0117988,0.0007091,,,,0.0376465,0.9292071,0.0331464,0.7481682,0.2016396,0.047027,0.0024214,260.6238,260.4251,,258.744,258.3711,260.9225,258.7908,,259.7539,258.2073,260.5585,260.0821,,,,,256.8324,259.0375,257.8897,258.7009,256.6286,258.9714,,,,,257.7375,259.8964,259.5426,258.4143,257.9496,260.1834,,,,,,,257.1556,255.9554,258.0768,256.877,,,,,,,257.9455,257.5847,259.6519,258.129,,,,,256.2036,,,,,257.765,,,7
1990,"D.C.",8,"math",0.5292612,0,0.0075162,14.05595,0.0324499,0.8447692,0.097838,0.0089838,0.0151921,0.0007669,,,,0.0569864,0.8817841,0.0612295,0.657342,0.2561707,0.0690333,0.0166095,230.5601,252.6239,,228.5691,226.5512,231.33,229.7979,,251.5014,248.3153,253.0204,252.3849,,,,,225.0059,229.3371,228.4973,227.3131,225.8072,230.5125,,,,,247.5539,251.9095,251.4511,248.8189,248.1335,252.745,,,,,,,225.7741,224.8741,229.2156,226.5513,,,,,,,248.0577,247.5235,251.8214,248.6085,,,,,225.6186,,,,,247.9983,,,8
1990,"Florida",8,"math",0.4872475,0.0078126,0.0404969,14.09579,0.6016287,0.1952513,0.1673239,0.0248205,0.0109756,0,,,,0.0756813,0.8824512,0.0418675,0.6596177,0.2183798,0.1186215,0.0026773,255.1185,256.4161,,253.4145,252.3828,256.3816,254.4487,,255.0245,253.7224,257.5956,256.1821,,,,,251.0242,254.6806,253.1528,253.4441,251.8116,255.7089,,,,,252.672,256.2046,254.887,254.7259,253.5809,257.3244,,,,,,,252.1027,250.8225,254.4098,252.8935,,,,,,,253.673,252.6083,256.0306,254.5553,,,,,251.905,,,,,253.5805,,,9
1990,"Georgia",8,"math",0.4861422,0.0015502,0.0341116,14.28106,0.5942514,0.33221,0.056079,0.0117478,0.0052152,0.0004966,,,,0.0596721,0.8951458,0.0451821,0.7772546,0.1755441,0.0389938,0.0066732,258.346,261.1635,,256.4119,255.3638,261.9022,256.4778,,260.4512,258.2012,264.4336,260.8922,,,,,253.8153,259.9879,255.6118,258.1202,253.5667,260.0006,,,,,257.7272,263.6674,260.3407,260.7631,258.0025,264.0762,,,,,,,256.6375,252.9567,259.099,256.3575,,,,,,,260.2702,257.6569,263.4718,260.5053,,,,,255.7507,,,,,260.1402,,,10
