year,FIPS,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,lang_nr,lang_st,lang_mt,lang_om,score_st_m1,score_m1,score_st_m2,score_m2,score_st_m3,score_m3,score_st_m4,score_m4,score_st_m5,score_m5,score_st_m6,score_m6,score_st_m7,score_m7,score_st_m8,score_m8,score_st_m9,score_m9,score_st_m10,score_m10,score_st_m11,score_m11,score_st_m12,score_m12,score_st_m13,score_m13,score_st_m14,score_m14,score_st_m15,score_m15,score_st_m16,score_m16,score_st_m17,score_m17,score_st_m18,score_m18,score_st_m19,score_m19,score_st_m20,score_m20,score_st_m21,score_m21,score_st_m22,score_m22,score_st_m23,score_m23,score_st_m24,score_m24,score_st_m25,score_m25,score_st_m26,score_m26,score_st_m27,score_m27,score_st_m28,score_m28,score_st_m29,score_m29,score_st_m30,score_m30,score_st_m31,score_m31,score_st_m32,score_m32,score_st_m33,score_m33,score_st_m34,score_m34,score_st_m35,score_m35,score_st_m36,score_m36,score_st_m37,score_m37,score_st_m38,score_m38,score_st_m39,score_m39,score_st_m40,score_m40,score_st_m41,score_m41,score_st_m42,score_m42,score_st_m43,score_m43,score_st_m44,score_m44,score_st_m45,score_m45,score_st_m46,score_m46,score_st_m47,score_m47,score_st_m48,score_m48,score_st_m49,score_m49,score_st_m50,score_m50,score_st_m51,score_m51,score_st_m52,score_m52,score_st_m53,score_m53,score_st_m54,score_m54,score_st_m55,score_m55,score_st_m56,score_m56,score_st_m57,score_m57,score_st_m58,score_m58,score_st_m59,score_m59,score_st_m60,score_m60,score_st_m61,score_m61,score_st_m62,score_m62,score_st_m63,score_m63,score_st_m64,score_m64
1990,"Alabama",252.274,0.000,0.00000,352.86246,.1955238,-.277343,.4981613,.0011656,.0423772,14.1754,.6438388,.2892943,.0457521,.0105778,.010537,0,,,,.0582736,.8963364,.04539,.8250555,.1431962,.0244706,.0065764,-.277343,252.2738,-.2445704,253.4201,,,-.3330415,250.3255,-.3534793,249.6107,-.213061,254.5222,-.3401071,250.0784,,,-.2633429,252.7634,-.3200014,250.7817,-.187333,255.4221,-.2524728,253.1437,,,,,,,,,-.39858,248.0332,-.268484,252.5836,-.3607296,249.3571,-.302564,251.3916,-.4143441,247.4818,-.2791423,252.2108,,,,,,,,,-.3325979,250.3411,-.2069373,254.7364,-.2659319,252.6729,-.2740071,252.3904,-.3259977,250.5719,-.1977957,255.0562,,,,,,,,,,,,,-.3466236,249.8505,-.4286524,246.9813,-.3003276,251.4698,-.3647987,249.2148,,,,,,,,,,,,,-.2869203,251.9388,-.3343194,250.2808,-.2120906,254.5562,-.2818508,252.1161,,,,,,,,,-.3790526,248.7162,,,,,,,,,-.2904996,251.8136,,,,
1992,"Alabama",252.188,0.000,0.00000,441.63937,.1643573,-.3842724,.480211,.0013351,.0489684,14.17218,.6138272,.3179874,.0443174,.0055368,.0183312,0,,,,.0741676,.8739085,.0519239,.8352804,.1355339,.0247068,.0044789,-.3842724,252.1875,-.3188209,254.4769,,,-.4397928,250.2455,-.4531336,249.7789,-.3211288,254.3961,-.4499922,249.8888,,,-.3372793,253.8312,-.3884988,252.0397,-.2634314,256.4143,-.328452,254.14,,,,,,,,,-.4984556,248.1936,-.3763818,252.4635,-.4699316,249.1913,-.4034111,251.5181,-.5166426,247.5575,-.390296,251.9768,,,,,,,,,-.4010653,251.6001,-.2826896,255.7407,-.3415212,253.6829,-.3441515,253.5909,-.3958507,251.7825,-.2756268,255.9877,,,,,,,,,,,,,-.4477299,249.9679,-.5307044,247.0656,-.4107889,251.26,-.4684445,249.2434,,,,,,,,,,,,,-.3570211,253.1407,-.4040849,251.4945,-.2895023,255.5024,-.3533769,253.2682,,,,,,,,,-.4824536,248.7534,,,,,,,,,-.3619244,252.9692,,,,
1996,"Alabama",258.898,0.001,0.00091,11.05329,1.37e-08,-.3441808,.5090332,0,.0618856,14.12699,.6112584,.3216206,.0416763,.008377,.0163532,.0007144,.293341,.0678867,.0323966,.0687244,.8884886,.0427871,.8154705,.1270108,.0425692,.0149494,-.3441808,258.8976,-.2785155,261.1945,-.3394765,259.0622,-.4011037,256.9066,-.3987847,256.9877,-.2970302,260.5469,-.3908993,257.2635,-.2800957,261.1392,-.2977821,260.5206,-.3341816,259.2474,-.2385248,262.5933,-.2756334,261.2953,-.3797976,257.6519,-.3894434,257.3145,-.3015471,260.3889,-.3538126,258.5608,-.4460828,255.3333,-.3538143,258.5607,-.4165907,256.3649,-.3614995,258.2919,-.4455711,255.3512,-.3477109,258.7742,-.2969166,260.5508,-.3326807,259.2999,-.2452692,262.3574,-.2751858,261.3109,-.3479852,258.7646,-.2582643,261.9028,-.291635,260.7356,-.3019013,260.3765,-.3312135,259.3512,-.2382509,262.6028,-.4228861,256.1447,-.3415975,258.988,-.3755973,257.7988,-.3603821,258.331,-.4065215,256.7171,-.3207451,259.7174,-.4081873,256.6588,-.4650743,254.6691,-.3736934,257.8654,-.4103634,256.5827,-.3449237,258.8717,-.2622818,261.7623,-.2894279,260.8128,-.3051042,260.2645,-.3279938,259.4638,-.2427014,262.4472,-.3158989,259.8869,-.3423302,258.9624,-.2546979,262.0276,-.3007706,260.416,-.3931789,257.1838,-.4232131,256.1333,-.3424847,258.957,-.3803085,257.634,-.4298353,255.9016,-.3172984,259.838,-.3380595,259.1118,-.2571513,261.9417,-.3020346,260.3718,-.3120785,260.0205,-.3967382,257.0593,-.3120872,260.0202
2000,"Alabama",262.158,0.001,0.00091,11.61872,-7.33e-11,-.314436,.494566,.0036476,.0927375,14.14765,.6291094,.3089616,.0384317,.00693,.0165673,0,.3139559,.0720889,.0692957,.0745297,.8816192,.0438511,.8343986,.1177264,.0380246,.0098504,-.314436,262.1582,-.2639624,263.9236,-.2776765,263.444,-.3675271,260.3012,-.3349871,261.4394,-.2599748,264.0631,-.3697667,260.2228,-.2409102,264.73,-.2792469,263.389,-.2865901,263.1322,-.2169076,265.5695,-.2655831,263.867,-.3178783,262.0378,-.2979891,262.7335,-.2339802,264.9724,-.2991879,262.6916,-.3806799,259.8412,-.3128559,262.2135,-.3901373,259.5103,-.2940088,262.8727,-.3898711,259.5197,-.3191857,261.9921,-.2554958,264.2198,-.2642262,263.9144,-.200751,266.1346,-.2405133,264.7439,-.2984077,262.7188,-.2328786,265.0109,-.2772621,263.4585,-.2507035,264.3874,-.2875926,263.0971,-.2212036,265.4193,-.3322715,261.5344,-.2737448,263.5815,-.3185343,262.0149,-.2660088,263.8521,-.3218539,261.8987,-.2607036,264.0377,-.3389638,261.3003,-.4063666,258.9427,-.3399916,261.2643,-.3509371,260.8815,-.2755999,263.5166,-.2155956,265.6154,-.2519889,264.3425,-.2339735,264.9726,-.2634746,263.9407,-.2027904,266.0633,-.2627569,263.9658,-.2964191,262.7884,-.233547,264.9875,-.2536027,264.286,-.2995214,262.6799,-.3374519,261.3531,-.2799816,263.3633,-.2929597,262.9094,-.3673941,260.3058,-.2452903,264.5768,-.2722346,263.6343,-.2145545,265.6518,-.2349195,264.9395,-.2626657,263.969,-.3082396,262.3749,-.243664,264.6337
2003,"Alabama",261.939,0.001,0.00064,11.18031,2.43e-08,-.4052927,.4870734,.0101998,.1108578,14.17251,.6188258,.3575551,.0119958,.0075978,.00347,.0005554,.3871396,.0812021,0,.3500671,.6437684,.0061645,.7656874,.1775887,.0466657,.0100582,-.4052927,261.939,-.3360791,264.36,-.3221712,264.8464,-.4515012,260.3228,-.4058435,261.9197,-.3420341,264.1517,-.4513029,260.3297,-.2843347,266.1699,-.3394151,264.2433,-.338881,264.262,-.2811596,266.2809,-.3364607,264.3466,-.3617299,263.4628,-.3294546,264.5917,-.2743407,266.5194,-.3427196,264.1277,-.4465137,260.4972,-.3879377,262.5461,-.4700882,259.6726,-.3593908,263.5446,-.4517232,260.315,-.3901867,262.4674,-.2911769,265.9305,-.293994,265.832,-.2406433,267.6981,-.2847382,266.1558,-.3415463,264.1687,-.285552,266.1273,-.3384038,264.2787,-.2981503,265.6866,-.3389358,264.26,-.2832631,266.2073,-.3635927,263.3976,-.3133316,265.1556,-.3634917,263.4011,-.2950506,265.795,-.3520962,263.7997,-.2988307,265.6628,-.3991061,262.1554,-.4677391,259.7548,-.4095545,261.7899,-.4059301,261.9167,-.299373,265.6439,-.2478385,267.4464,-.2899387,265.9738,-.2617314,266.9605,-.2940648,265.8295,-.2425408,267.6317,-.3011447,265.5819,-.3404499,264.2071,-.2862262,266.1037,-.2993617,265.6443,-.3282961,264.6322,-.3693236,263.1971,-.3195215,264.9391,-.319831,264.9283,-.421898,261.3582,-.2670389,266.7748,-.2980704,265.6894,-.2481354,267.436,-.2628008,266.9231,-.3012071,265.5797,-.3367012,264.3382,-.2667869,266.7837
2005,"Alabama",262.211,0.001,0.00064,12.01921,-8.16e-09,-.4381257,.5067368,.0108416,.1221823,14.18907,.5914631,.3668367,.023011,.0097816,.0075907,.0013168,.4055675,.0922669,.0137261,.3925116,.5996572,.0078312,.7481999,.178575,.0543862,.0188389,-.4381257,262.2111,-.3480886,265.3604,-.3288611,266.0329,-.4836599,260.6184,-.4261771,262.629,-.3690064,264.6288,-.4706759,261.0726,-.2854662,267.5508,-.353846,265.159,-.3393409,265.6664,-.2872754,267.4875,-.3405623,265.6237,-.3700692,264.5916,-.3263209,266.1218,-.2767729,267.8549,-.3411126,265.6044,-.466903,261.2045,-.4141879,263.0484,-.491494,260.3444,-.376037,264.3828,-.4605226,261.4277,-.4034927,263.4225,-.2949877,267.2177,-.2851884,267.5605,-.2370548,269.2441,-.2789294,267.7794,-.3444877,265.4864,-.2941663,267.2465,-.3454394,265.4531,-.2948185,267.2237,-.3332669,265.8788,-.2817773,267.6798,-.3622046,264.8667,-.3173253,266.4364,-.3645107,264.786,-.2892759,267.4175,-.342096,265.57,-.2928849,267.2913,-.4156983,262.9955,-.4787429,260.7904,-.4249494,262.672,-.4107395,263.169,-.2931401,267.2824,-.2469521,268.8979,-.2871522,267.4918,-.2498953,268.795,-.2798688,267.7466,-.2322267,269.413,-.3003122,267.0315,-.3375862,265.7278,-.2877309,267.4716,-.2900271,267.3913,-.324178,266.1967,-.3618084,264.8805,-.316195,266.476,-.3070297,266.7965,-.4289082,262.5335,-.2577723,268.5195,-.2866601,267.509,-.2408625,269.1109,-.2456558,268.9433,-.2946912,267.2281,-.3263643,266.1203,-.2524269,268.7065
2007,"Alabama",266.000,0.001,0.00062,11.67977,1.71e-07,-.4084958,.4914083,.0185941,.0917142,14.18917,.6011565,.354673,.0248175,.0089321,.0082844,.0021365,.394643,.0936857,.0014912,.405515,.589949,.004536,.7544346,.185089,.044185,.0162913,-.4084958,266.0001,-.3283327,268.804,-.31202,269.3746,-.4458864,264.6923,-.4301764,265.2418,-.3393431,268.4189,-.4478525,264.6235,-.2715874,270.7889,-.3278387,268.8213,-.3519531,267.9778,-.267379,270.9361,-.3248673,268.9253,-.3464703,268.1696,-.339479,268.4142,-.2597903,271.2015,-.3277507,268.8244,-.4619821,264.1293,-.3763487,267.1245,-.4593403,264.2217,-.3783605,267.0542,-.4703398,263.8369,-.3807211,266.9716,-.2753404,270.6576,-.3016156,269.7386,-.2229304,272.4908,-.2681738,270.9083,-.3505908,268.0255,-.2681314,270.9098,-.3226838,269.0016,-.3057446,269.5941,-.3490524,268.0793,-.2659012,270.9878,-.3685369,267.3978,-.2934453,270.0243,-.3435454,268.2719,-.3011253,269.7557,-.3581892,267.7597,-.2794596,270.5135,-.4089566,265.984,-.4791475,263.5289,-.3929375,266.5443,-.4188862,265.6367,-.3037252,269.6648,-.227107,272.3447,-.26995,270.8461,-.2648877,271.0232,-.2987386,269.8392,-.221239,272.55,-.3047807,269.6278,-.3463151,268.175,-.2649288,271.0218,-.3041382,269.6503,-.3289768,268.7815,-.3705407,267.3277,-.295146,269.9648,-.3218487,269.0308,-.4276327,265.3307,-.2669096,270.9525,-.2991988,269.8231,-.223491,272.4712,-.2631275,271.0848,-.3018054,269.7319,-.333724,268.6155,-.2635635,271.0695
2009,"Alabama",268.524,0.001,0.00058,11.88040,5.02e-09,-.3746398,.4900171,.0111586,.0898398,14.16443,.6006877,.3471677,.0262204,.0116303,.0131858,.001108,.4134801,.0833278,0,.4076093,.5891424,.0032483,.7711606,.1720598,.0445019,.0122777,-.3746398,268.5241,-.2982535,271.196,-.2673823,272.2758,-.4198411,266.9431,-.3983893,267.6934,-.3142421,270.6367,-.4195678,266.9526,-.2342845,273.4334,-.3050875,270.9569,-.3239616,270.2968,-.2456315,273.0366,-.2982043,271.1977,-.308282,270.8452,-.2974537,271.2239,-.2225976,273.8422,-.2874215,271.5748,-.4369668,266.3441,-.3591564,269.0657,-.4370078,266.3426,-.352897,269.2846,-.4432943,266.1227,-.361643,268.9787,-.2450444,273.0571,-.2671448,272.2841,-.1933742,274.8644,-.2340252,273.4425,-.3286178,270.1339,-.2534137,272.7643,-.3026727,271.0414,-.2838094,271.7012,-.3236934,270.3061,-.2475668,272.9689,-.332032,270.0144,-.2630431,272.4275,-.3085024,270.8375,-.2643043,272.3834,-.3198654,270.44,-.2470008,272.9886,-.390526,267.9684,-.4571276,265.6389,-.3796386,268.3493,-.3986708,267.6836,-.2750029,272.0092,-.2044303,274.4777,-.2422274,273.1556,-.2359489,273.3752,-.2667079,272.2993,-.194873,274.812,-.2887784,271.5274,-.3264148,270.2109,-.2529576,272.7803,-.2848922,271.6633,-.2980622,271.2026,-.3366132,269.8542,-.2680119,272.2537,-.2891572,271.5141,-.4124559,267.2014,-.2437422,273.1026,-.2724295,272.0992,-.2034093,274.5134,-.2367038,273.3488,-.2879305,271.557,-.3055687,270.9401,-.2424076,273.1493
2011,"Alabama",269.097,0.001,0.00062,11.65483,8.92e-09,-.3906835,.4940161,.0159187,.0945352,14.14984,.5923467,.3306609,.0480343,.0132475,.0120998,.0036109,.4534285,.0764182,0,.4524856,.5446715,.0028429,.7610697,.1777171,.0566739,.0045393,-.3906835,269.0965,-.313045,271.8121,-.2519384,273.9495,-.4308845,267.6904,-.4092504,268.4471,-.3354462,271.0286,-.4385514,267.4222,-.2304857,274.6999,-.3204832,271.552,-.3336712,271.0907,-.2647288,273.5021,-.3195585,271.5843,-.2920489,272.5465,-.2794652,272.9867,-.2122894,275.3364,-.2781539,273.0326,-.4436932,267.2424,-.3753804,269.6318,-.453506,266.8991,-.3677999,269.8969,-.4556131,266.8254,-.3853098,269.2845,-.2431077,274.2584,-.2607238,273.6422,-.1945312,275.9575,-.236797,274.4791,-.3390352,270.9031,-.2730171,273.2122,-.3243753,271.4158,-.29695,272.3751,-.3385577,270.9198,-.2729199,273.2156,-.3134388,271.7984,-.252076,273.9447,-.2989665,272.3046,-.2500809,274.0145,-.30657,272.0386,-.2425912,274.2765,-.4013709,268.7227,-.4676208,266.4054,-.4007855,268.7432,-.4148459,268.2514,-.2702242,273.3099,-.2073886,275.5078,-.2464792,274.1405,-.2332506,274.6032,-.265503,273.4751,-.2023678,275.6834,-.3025937,272.1777,-.3418169,270.8058,-.2785732,273.0179,-.3030397,272.1621,-.2834053,272.8489,-.3232207,271.4562,-.2633483,273.5504,-.2795578,272.9835,-.426809,267.8329,-.2426981,274.2727,-.2725845,273.2274,-.2123207,275.3353,-.2391199,274.3979,-.3065841,272.0381,-.2959328,272.4107,-.2461866,274.1507
2013,"Alabama",269.194,0.001,0.00061,26.96707,8.16e-09,-.4143072,.4897704,.0130314,.0887198,14.12513,.6000571,.3285019,.041733,.0116372,.010797,.0072739,.4972179,.0655132,.0003475,.500743,.4982714,.0009856,.778607,.1584683,.0569989,.0059259,-.4143072,269.1943,-.3434997,271.671,-.2426172,275.1996,-.4575411,267.6821,-.4392928,268.3203,-.3678141,270.8205,-.4621557,267.5206,-.237237,275.3878,-.3518818,271.3778,-.370209,270.7368,-.303759,273.061,-.3475629,271.5288,-.287712,273.6223,-.2782114,273.9546,-.2110395,276.3041,-.2692648,274.2675,-.4760734,267.0338,-.4108605,269.3148,-.4791551,266.926,-.4039446,269.5567,-.4858213,266.6929,-.4183777,269.0519,-.252383,274.858,-.2760216,274.0312,-.2102646,276.3312,-.2418922,275.225,-.3761141,270.5302,-.3128004,272.7448,-.3536551,271.3158,-.3395289,271.8098,-.3728558,270.6442,-.3096514,272.8549,-.3162588,272.6238,-.2561399,274.7266,-.2935281,273.4189,-.2542584,274.7924,-.3060611,272.9805,-.242539,275.2024,-.4400606,268.2935,-.4992813,266.2221,-.4357599,268.4439,-.4517958,267.883,-.2873368,273.6354,-.2255425,275.7968,-.2541493,274.7963,-.2547446,274.7754,-.2792478,273.9184,-.2165732,276.1106,-.3456596,271.5954,-.3769295,270.5017,-.3163832,272.6194,-.3435022,271.6709,-.2920198,273.4716,-.3253546,272.3056,-.2667834,274.3543,-.2851172,273.7131,-.4652212,267.4134,-.2660252,274.3809,-.2881788,273.606,-.2289813,275.6766,-.2591723,274.6205,-.3478027,271.5205,-.304264,273.0434,-.2680938,274.3085
