FIPS,year,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64,score_m65,score_m65_r
"Alabama",1990,252.274,0.000,0.00000,352.86246,.1955238,-.277343,.4981613,.0011656,.0423772,14.1754,.6438388,.2892943,.0457521,.0105778,.010537,0,,,,.0582736,.8963364,.04539,252.2738,254.4403,,251.811,252.3508,253.9975,250.9133,,254.9393,254.4497,255.9445,254.4602,,,,,251.9392,253.5462,251.1839,253.6121,250.9755,252.5506,,,,,254.8649,256.4042,255.002,255.5611,254.4635,255.8977,,,,,,,253.2338,251.2037,252.7981,252.1984,,,,,,,255.9645,254.9121,256.4008,255.5294,,,,,252.4284,,,,,255.9659,,,,
"Alabama",1992,252.188,0.000,0.00000,441.63937,.1643573,-.3842724,.480211,.0013351,.0489684,14.17218,.6138272,.3179874,.0443174,.0055368,.0183312,0,,,,.0741676,.8739085,.0519239,252.1875,255.497,,251.4667,252.2476,253.8244,250.8308,,255.7001,255.4467,256.9057,255.4569,,,,,251.6096,253.1133,250.8503,253.4459,250.886,252.3839,,,,,255.6178,257.0766,255.7218,256.4904,255.4123,256.8008,,,,,,,252.837,250.9002,252.3838,252.0462,,,,,,,256.6517,255.6334,257.0341,256.4111,,,,,252.062,,,,,256.6222,,,,
"Alabama",1996,258.898,0.001,0.00091,11.05329,1.37e-08,-.3441808,.5090332,0,.0618856,14.12699,.6112584,.3216206,.0416763,.008377,.0163532,.0007144,.293341,.0678867,.0323966,.0687244,.8884886,.0427871,258.8976,261.86,260.4282,258.1782,259.3558,260.3016,257.5631,262.5806,262.2661,262.1937,263.0104,261.9128,259.789,260.6896,261.4782,259.9112,258.6983,259.5901,257.5755,260.3637,258.0171,258.8717,262.8707,262.7696,263.4994,262.6483,262.5185,263.386,262.3268,263.0278,262.2509,263.0044,260.126,260.8561,259.7769,261.4279,260.1065,260.8303,259.7293,258.0075,258.8676,258.9733,263.0052,263.7787,262.9553,263.4318,262.8414,263.5168,263.3437,262.5808,263.3891,263.044,260.8874,259.987,260.6986,260.7659,258.965,263.6695,263.0898,263.8119,263.4689,263.365,260.6561,263.7179,,
"Alabama",2000,262.158,0.001,0.00091,11.61872,-7.33e-11,-.314436,.494566,.0036476,.0927375,14.14765,.6291094,.3089616,.0384317,.00693,.0165673,0,.3139559,.0720889,.0692957,.0745297,.8816192,.0438511,262.1582,263.8388,264.6253,260.8328,263.7337,264.1339,260.4502,265.5315,263.9451,265.2608,265.5258,263.7977,263.4891,265.8942,266.1569,263.8492,262.4844,262.8185,260.0476,265.1063,262.024,262.3362,265.5148,266.6892,266.8984,265.489,265.2921,265.596,263.9278,266.4382,265.2271,265.4229,264.8666,265.0414,263.3516,266.9353,265.0455,265.2344,263.8847,261.6106,261.9139,263.354,266.6359,266.8691,265.5083,267.6381,266.6572,266.8018,266.4594,265.2799,265.5183,266.3625,265.9349,264.5872,264.7397,266.0016,262.942,267.587,266.6344,266.8072,267.5694,266.4052,265.5545,267.5473,,
"Alabama",2003,261.939,0.001,0.00064,11.18031,2.43e-08,-.4052927,.4870734,.0101998,.1108578,14.17251,.6188258,.3575551,.0119958,.0075978,.00347,.0005554,.3871396,.0812021,0,.3500671,.6437684,.0061645,261.939,264.36,264.8464,260.3228,261.9197,264.1517,260.3297,266.1699,264.2433,264.262,266.2809,264.3466,263.4628,264.5917,266.5194,264.1277,260.4972,262.5461,259.6726,263.5446,260.315,262.4674,265.9305,265.832,267.6981,266.1558,264.1687,266.1273,264.2787,265.6866,264.26,266.2073,263.3976,265.1556,263.4011,265.795,263.7997,265.6628,262.1554,259.7548,261.7899,261.9167,265.6439,267.4464,265.9738,266.9605,265.8295,267.6317,265.5819,264.2071,266.1037,265.6443,264.6322,263.1971,264.9391,264.9283,261.3582,266.7748,265.6894,267.436,266.9231,265.5797,264.3382,266.7837,266.7098,266.7098
"Alabama",2005,262.211,0.001,0.00064,12.01921,-8.16e-09,-.4381257,.5067368,.0108416,.1221823,14.18907,.5914631,.3668367,.023011,.0097816,.0075907,.0013168,.4055675,.0922669,.0137261,.3925116,.5996572,.0078312,262.2111,264.9724,265.2675,260.5462,262.8684,264.3881,260.5307,266.7952,264.8389,265.5127,266.8499,264.9272,263.8424,265.6408,266.9293,264.5167,261.3679,262.7334,259.8755,264.4339,261.1767,262.6287,266.5529,267.0832,268.3058,266.7631,265.3797,266.6806,264.8649,266.874,265.4661,266.7456,264.3907,265.5228,263.7886,266.8108,264.8017,266.0343,262.9641,260.5888,261.9536,262.7141,266.8713,268.0513,266.5966,268.1729,267.05,268.2212,266.7303,265.3938,266.6483,266.7883,265.589,264.1782,265.309,265.892,262.1278,267.9633,266.9024,268.041,268.1051,266.705,265.2801,267.9581,268.6773,267.9382
"Alabama",2007,266.000,0.001,0.00062,11.67977,1.71e-07,-.4084958,.4914083,.0185941,.0917142,14.18917,.6011565,.354673,.0248175,.0089321,.0082844,.0021365,.394643,.0936857,.0014912,.405515,.589949,.004536,266.0001,267.8808,268.0393,264.4351,266.0064,268.2026,263.9597,269.3125,267.9785,267.8054,269.7687,267.7487,266.7719,267.8862,269.7495,267.1795,264.6276,266.6483,263.5603,267.6225,263.9632,266.0633,269.3007,269.0582,270.8552,269.233,267.8897,269.8263,267.9509,269.2045,267.6788,269.5754,266.7899,268.5054,266.6911,269.112,266.9286,268.729,266.2773,263.622,265.6414,265.5384,269.057,270.8291,269.323,270.1938,268.9784,270.7194,269.2766,267.8489,269.7376,269.0369,268.0504,266.5245,268.2441,268.0643,265.1991,270.1954,269.0615,270.793,270.0766,269.1942,267.6749,270.1606,271.0009,270.0992
"Alabama",2009,268.524,0.001,0.00058,11.88040,5.02e-09,-.3746398,.4900171,.0111586,.0898398,14.16443,.6006877,.3471677,.0262204,.0116303,.0131858,.001108,.4134801,.0833278,0,.4076093,.5891424,.0032483,268.5241,270.0674,270.2722,266.8855,267.9992,270.2884,266.2072,271.416,270.209,269.4721,271.5118,269.8535,268.9763,269.6599,271.6376,269.278,266.5832,268.6568,265.8345,269.3198,265.7026,267.8425,271.4474,270.6813,272.5793,271.2676,269.6141,271.6217,270.1089,270.5689,269.2851,271.2393,268.5534,270.3544,268.8177,270.6583,268.5769,270.4594,267.9281,265.4069,267.453,266.9537,270.7324,272.5995,271.4082,271.5601,270.5505,272.3756,270.7008,269.5184,271.4625,270.3406,269.5749,268.2109,270.0015,269.4641,266.6594,271.6135,270.6909,272.5032,271.391,270.5633,269.1091,271.532,273.1178,271.5129
"Alabama",2011,269.097,0.001,0.00062,11.65483,8.92e-09,-.3906835,.4940161,.0159187,.0945352,14.14984,.5923467,.3306609,.0480343,.0132475,.0120998,.0036109,.4534285,.0764182,0,.4524856,.5446715,.0028429,269.0965,270.158,270.4442,267.5769,268.6816,270.8438,266.8924,271.3597,270.3871,269.6733,271.5848,270.0071,269.2662,269.9649,271.812,269.5298,267.3647,269.3316,266.5883,269.9843,266.488,268.5144,271.4799,270.7518,272.5208,271.2636,269.8836,271.7809,270.3294,270.7516,269.5391,271.3774,268.9567,270.6493,269.1478,270.9596,268.9575,270.7213,268.6923,266.2464,268.193,267.724,270.8727,272.6292,271.4751,271.6237,270.6652,272.3721,270.9516,269.824,271.6665,270.5782,269.9767,268.6535,270.342,269.8467,267.4839,271.747,270.8605,272.57,271.5011,270.8523,269.5544,271.6971,274.1162,271.7014
"Alabama",2013,269.194,0.001,0.00061,26.96707,8.16e-09,-.4143072,.4897704,.0130314,.0887198,14.12513,.6000571,.3285019,.041733,.0116372,.010797,.0072739,.4972179,.0655132,.0003475,.500743,.4982714,.0009856,269.1943,269.8057,271.0911,267.7704,268.0951,270.696,266.9541,271.5071,270.2301,268.677,270.9879,269.6689,269.932,269.9527,272.243,270.1145,266.8982,269.2781,266.7233,269.2512,265.8904,268.3207,271.7627,270.2294,272.4229,271.3958,269.0758,271.3809,270.15,269.606,268.5772,270.799,268.9818,271.0934,269.7578,270.8199,268.9019,271.0807,268.076,265.7407,268.0751,266.9697,270.486,272.6679,271.7184,270.9501,270.1497,272.2636,269.9947,269.0176,271.2488,269.4688,269.869,268.6398,270.726,269.6541,266.8212,271.2089,270.4587,272.5741,270.8364,269.8987,269.4018,271.146,274.2602,271.1475
