year,FIPS,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,lang_nr,lang_st,lang_mt,lang_om,score_st_m1,score_m1,score_st_m2,score_m2,score_st_m3,score_m3,score_st_m4,score_m4,score_st_m5,score_m5,score_st_m6,score_m6,score_st_m7,score_m7,score_st_m8,score_m8,score_st_m9,score_m9,score_st_m10,score_m10,score_st_m11,score_m11,score_st_m12,score_m12,score_st_m13,score_m13,score_st_m14,score_m14,score_st_m15,score_m15,score_st_m16,score_m16,score_st_m17,score_m17,score_st_m18,score_m18,score_st_m19,score_m19,score_st_m20,score_m20,score_st_m21,score_m21,score_st_m22,score_m22,score_st_m23,score_m23,score_st_m24,score_m24,score_st_m25,score_m25,score_st_m26,score_m26,score_st_m27,score_m27,score_st_m28,score_m28,score_st_m29,score_m29,score_st_m30,score_m30,score_st_m31,score_m31,score_st_m32,score_m32,score_st_m33,score_m33,score_st_m34,score_m34,score_st_m35,score_m35,score_st_m36,score_m36,score_st_m37,score_m37,score_st_m38,score_m38,score_st_m39,score_m39,score_st_m40,score_m40,score_st_m41,score_m41,score_st_m42,score_m42,score_st_m43,score_m43,score_st_m44,score_m44,score_st_m45,score_m45,score_st_m46,score_m46,score_st_m47,score_m47,score_st_m48,score_m48,score_st_m49,score_m49,score_st_m50,score_m50,score_st_m51,score_m51,score_st_m52,score_m52,score_st_m53,score_m53,score_st_m54,score_m54,score_st_m55,score_m55,score_st_m56,score_m56,score_st_m57,score_m57,score_st_m58,score_m58,score_st_m59,score_m59,score_st_m60,score_m60,score_st_m61,score_m61,score_st_m62,score_m62,score_st_m63,score_m63,score_st_m64,score_m64
1998,Alabama,0.5018407,0.0011128,0.0601035,14.11725,0.6242353,0.3120276,0.0402677,0.0107148,0.0127545,0,0.3335893,0.0710375,0.0107722,0.0713915,0.882879,0.0457295,0.8062941,0.1479937,0.0382253,0.0074868,-0.2096422,255.2266,-0.1899785,255.8738,-0.1755069,256.3501,-0.271304,253.1972,-0.260758,253.5443,-0.1669789,256.6308,-0.2725235,253.157,-0.1674836,256.6142,-0.2102891,255.2054,-0.2421248,254.1575,-0.1529716,257.0918,-0.1973194,255.6322,-0.226882,254.6592,-0.2261426,254.6836,-0.1429049,257.4231,-0.2108847,255.1857,-0.3119738,251.8586,-0.2279241,254.6249,-0.2990974,252.2824,-0.2288256,254.5953,-0.3202631,251.5858,-0.2335667,254.4392,-0.1877734,255.9464,-0.2208402,254.8581,-0.1374628,257.6022,-0.1735264,256.4153,-0.2566514,253.6794,-0.1733505,256.4211,-0.213137,255.1116,-0.2136726,255.094,-0.2462057,254.0232,-0.1629488,256.7634,-0.2688537,253.2778,-0.1935245,255.7571,-0.2373884,254.3134,-0.2028406,255.4505,-0.2609543,253.5378,-0.1828838,256.1073,-0.2785832,252.9576,-0.3406912,250.9135,-0.259956,253.5707,-0.2900717,252.5795,-0.2356128,254.3719,-0.1575397,256.9415,-0.1897566,255.8811,-0.1981777,255.604,-0.2239172,254.7568,-0.1458581,257.3259,-0.2278225,254.6283,-0.257223,253.6606,-0.1788352,256.2406,-0.2196157,254.8984,-0.2441534,254.0908,-0.2815925,252.8586,-0.2089739,255.2486,-0.2400272,254.2266,-0.3098146,251.9297,-0.2123826,255.1364,-0.235471,254.3765,-0.1619095,256.7976,-0.2028709,255.4495,-0.230295,254.5469,-0.2598818,253.5731,-0.2139257,255.0856
2002,Alabama,0.4922909,0.0047434,0.1202318,14.1855,0.6093102,0.3699582,0.0120386,0.0045234,0.0034374,0.0007322,0.3520837,0.0775597,0.1363408,0.3334401,0.661925,0.0046349,0.7329177,0.1655315,0.0354259,0.0661249,-0.3011403,252.5017,-0.2635464,253.739,-0.2163917,255.291,-0.3582634,250.6216,-0.2772138,253.2892,-0.2352223,254.6712,-0.2752017,253.3554,-0.2121902,255.4293,-0.272176,253.455,-0.2429818,254.4158,-0.2046922,255.6761,-0.1938149,256.0341,-0.2710403,253.4924,-0.1978834,255.9001,-0.1642565,257.0069,-0.1775662,256.5688,-0.328897,251.5882,-0.2907498,252.8437,-0.3051533,252.3696,-0.2321123,254.7736,-0.2664371,253.6439,-0.2140726,255.3673,-0.2246061,255.0206,-0.1964585,255.9471,-0.1628395,257.0535,-0.145652,257.6192,-0.2511436,254.1472,-0.2134698,255.3872,-0.2033793,255.7193,-0.202075,255.7622,-0.1878617,256.23,-0.139744,257.8137,-0.2463185,254.306,-0.2169835,255.2715,-0.2103889,255.4886,-0.1638112,257.0215,-0.1745082,256.6695,-0.1308553,258.1062,-0.2813826,253.152,-0.2926428,252.7814,-0.2436883,254.3926,-0.2227995,255.0801,-0.2074864,255.5841,-0.1747753,256.6607,-0.15835,257.2013,-0.1627969,257.0549,-0.1434418,257.692,-0.1001972,259.1153,-0.2095999,255.5145,-0.19611,255.9585,-0.1494442,257.4944,-0.1495047,257.4924,-0.2098345,255.5068,-0.2026652,255.7428,-0.1628249,257.054,-0.1425596,257.721,-0.2479771,254.2514,-0.1728431,256.7243,-0.1541442,257.3397,-0.1125237,258.7096,-0.1118177,258.7328,-0.1572093,257.2388,-0.1694589,256.8357,-0.1216894,258.4079
2003,Alabama,0.4993251,0.0077036,0.1052255,14.18123,0.6270252,0.3489791,0.0104638,0.0081893,0.0051651,0.0001775,0.3860054,0.0949388,0.0010819,0.3499784,0.6486006,0.0014209,0.8017974,0.1520352,0.0379925,0.0081747,-0.2479306,253.1726,-0.2274782,253.8457,-0.1627782,255.9752,-0.3013529,251.4143,-0.2427326,253.3437,-0.1834689,255.2942,-0.3095341,251.1451,-0.1700726,255.7351,-0.2332557,253.6556,-0.2246523,253.9388,-0.1696777,255.7481,-0.2316481,253.7085,-0.2132531,254.3139,-0.1656511,255.8806,-0.1145677,257.5619,-0.2007045,254.7269,-0.2900463,251.7865,-0.2352996,253.5883,-0.3290605,250.5024,-0.1978782,254.8199,-0.3027265,251.3691,-0.2480403,253.169,-0.1799449,255.4102,-0.1757103,255.5495,-0.124653,257.23,-0.1748851,255.5767,-0.2296069,253.7757,-0.1756051,255.553,-0.2347578,253.6061,-0.183749,255.285,-0.2272565,253.853,-0.1766967,255.5171,-0.2095585,254.4355,-0.163264,255.9592,-0.2248358,253.9327,-0.1335026,256.9387,-0.2041476,254.6136,-0.1569283,256.1677,-0.2427223,253.344,-0.3198665,250.805,-0.2671871,252.5388,-0.2587389,252.8169,-0.1837333,255.2855,-0.1340738,256.9199,-0.1818472,255.3476,-0.1440314,256.5922,-0.1787753,255.4487,-0.1318851,256.9919,-0.1880428,255.1437,-0.2300479,253.7612,-0.1799563,255.4098,-0.1882054,255.1383,-0.1750876,255.57,-0.2246215,253.9398,-0.1801653,255.4029,-0.1739906,255.6061,-0.2747371,252.2903,-0.1511005,256.3595,-0.1844394,255.2623,-0.1384677,256.7753,-0.1486513,256.4401,-0.1904022,255.066,-0.1931651,254.9751,-0.1534691,256.2816
2005,Alabama,0.4968538,0.0126222,0.1095956,14.16777,0.5799341,0.3802581,0.0211506,0.0099943,0.0053399,0.0033231,0.4043964,0.094713,0.0119063,0.3866575,0.6097983,0.0035442,0.758853,0.1826352,0.047198,0.0113138,-0.2568016,251.9784,-0.2010894,253.812,-0.1538792,255.3658,-0.3040748,250.4225,-0.2461495,252.329,-0.1969249,253.9491,-0.306348,250.3477,-0.1421404,255.7522,-0.204804,253.6898,-0.1934935,254.062,-0.1478961,255.5627,-0.2023473,253.7706,-0.2016745,253.7928,-0.1527196,255.404,-0.1097121,256.8195,-0.1856103,254.3215,-0.288377,250.9392,-0.2426896,252.4429,-0.3245332,249.7492,-0.2047253,253.6924,-0.2952429,250.7132,-0.2488212,252.241,-0.1503066,255.4834,-0.1431063,255.7204,-0.1006091,257.1191,-0.1443877,255.6782,-0.1969483,253.9483,-0.1517513,255.4359,-0.2039842,253.7168,-0.1560601,255.2941,-0.1941839,254.0393,-0.1515899,255.4412,-0.1944571,254.0303,-0.1559184,255.2987,-0.2096236,253.5311,-0.1233891,256.3693,-0.1856772,254.3193,-0.1453033,255.6481,-0.2446469,252.3784,-0.3114479,250.1798,-0.266651,251.6542,-0.2543045,252.0606,-0.1498948,255.497,-0.108357,256.8641,-0.1501335,255.4891,-0.1142848,256.669,-0.1445181,255.6739,-0.1049021,256.9778,-0.158902,255.2005,-0.1959147,253.9823,-0.1533674,255.3827,-0.1582855,255.2208,-0.1630517,255.0639,-0.2061852,253.6443,-0.1685188,254.884,-0.1580162,255.2297,-0.2694497,251.5621,-0.120199,256.4743,-0.1493158,255.516,-0.1102959,256.8003,-0.1169757,256.5804,-0.1594635,255.182,-0.1773641,254.5929,-0.120995,256.4481
2007,Alabama,0.4974724,0.0132084,0.0959812,14.18204,0.6031072,0.3589728,0.0258405,0.0073185,0.0043572,0.0004037,0.4089908,0.0830256,0.0021183,0.4161781,0.5816665,0.0021554,0.7586519,0.1835635,0.0442756,0.013509,-0.279645,251.9369,-0.2391398,253.27,-0.1806829,255.194,-0.3261854,250.4051,-0.2859841,251.7283,-0.2149057,254.0676,-0.3272586,250.3698,-0.1785249,255.265,-0.2427069,253.1526,-0.2480201,252.9777,-0.1809453,255.1853,-0.2378655,253.312,-0.2274344,253.6553,-0.1950333,254.7217,-0.1326966,256.7733,-0.2100434,254.2276,-0.3265568,250.3929,-0.2597565,252.5915,-0.3444588,249.8037,-0.2404606,253.2265,-0.3332738,250.1718,-0.264856,252.4236,-0.1867375,254.9947,-0.1955247,254.7055,-0.1329912,256.7636,-0.1783908,255.2694,-0.2505843,252.8933,-0.184667,255.0629,-0.2393287,253.2638,-0.206346,254.3493,-0.2464059,253.0309,-0.18231,255.1404,-0.2352169,253.3991,-0.1775874,255.2959,-0.232977,253.4728,-0.1626658,255.787,-0.2258621,253.707,-0.1658953,255.6807,-0.2783996,251.9779,-0.3477612,249.695,-0.2816606,251.8705,-0.2880588,251.66,-0.201693,254.5025,-0.1407406,256.5086,-0.1841351,255.0804,-0.1633719,255.7637,-0.1947731,254.7302,-0.1350623,256.6955,-0.2082184,254.2877,-0.2472456,253.0032,-0.1839278,255.0872,-0.2063813,254.3482,-0.2004058,254.5448,-0.2448188,253.0831,-0.1879069,254.9562,-0.1950265,254.7219,-0.301337,251.2229,-0.168547,255.5934,-0.1989203,254.5937,-0.1404172,256.5192,-0.1639862,255.7435,-0.2065967,254.3411,-0.2126183,254.1429,-0.1672486,255.6361
2009,Alabama,0.4898211,0.0126624,0.0881106,14.15871,0.6013619,0.3482093,0.0253036,0.0111908,0.0125262,0.0014081,0.40571,0.0926953,0.000319,0.4060954,0.5923781,0.0015264,0.7674571,0.1730113,0.0472254,0.0123062,-0.2287182,254.8952,-0.1913915,256.1238,-0.1286207,258.1897,-0.2759411,253.341,-0.2448801,254.3633,-0.1719296,256.7643,-0.2775935,253.2866,-0.1291806,258.1713,-0.1965773,255.9531,-0.2097217,255.5205,-0.1409171,257.785,-0.191058,256.1347,-0.1759634,256.6315,-0.1524303,257.4061,-0.0870738,259.5571,-0.1590918,257.1868,-0.2854694,253.0274,-0.2177523,255.2562,-0.2953321,252.7028,-0.204511,255.692,-0.2928114,252.7858,-0.2234822,255.0676,-0.1389364,257.8502,-0.1556802,257.2991,-0.0904556,259.4458,-0.13002,258.1436,-0.2131971,255.4061,-0.1462336,257.61,-0.1939433,256.0398,-0.1731302,256.7248,-0.2084696,255.5617,-0.14316,257.7112,-0.1927371,256.0795,-0.1329836,258.0461,-0.1825031,256.4163,-0.1240412,258.3404,-0.1838651,256.3715,-0.1216514,258.4191,-0.2428436,254.4303,-0.307294,252.3091,-0.2408889,254.4947,-0.2531574,254.0909,-0.1627485,257.0665,-0.0998347,259.1371,-0.1371205,257.9099,-0.1279171,258.2129,-0.1553467,257.3101,-0.0934558,259.3471,-0.1760073,256.6301,-0.2100998,255.508,-0.1461757,257.6119,-0.1735406,256.7113,-0.1623372,257.08,-0.2028721,255.7459,-0.1443374,257.6724,-0.1573259,257.2449,-0.2665997,253.6485,-0.1341499,258.0077,-0.1602702,257.148,-0.1002402,259.1238,-0.1289667,258.1783,-0.1746326,256.6754,-0.1752076,256.6564,-0.1331487,258.0407
2011,Alabama,0.4957787,0.0135265,0.0880916,14.15457,0.598416,0.3314323,0.0489811,0.0113062,0.0091897,0.0006747,0.4600357,0.0683698,0,0.4295273,0.5686339,0.0018389,0.7695183,0.1695525,0.0587376,0.0021915,-0.1613261,258.4211,-0.1209708,259.7493,-0.0276083,262.8221,-0.2074688,256.9024,-0.1775117,257.8884,-0.1059481,260.2437,-0.2200169,256.4894,-0.037938,262.4821,-0.1304603,259.437,-0.139358,259.1441,-0.0712436,261.3859,-0.1330058,259.3532,-0.0779816,261.1642,-0.0534568,261.9713,0.011666,264.1147,-0.0706672,261.4049,-0.2171491,256.5838,-0.1507266,258.77,-0.2379556,255.899,-0.1381279,259.1846,-0.2324786,256.0793,-0.1667521,258.2425,-0.0535046,261.9698,-0.0666067,261.5385,-0.0013668,263.6858,-0.0512548,262.0438,-0.1464235,258.9116,-0.0808545,261.0696,-0.1395516,259.1378,-0.1032944,260.3311,-0.1477085,258.8693,-0.0855452,260.9152,-0.0963224,260.5605,-0.0374984,262.4966,-0.0967529,260.5464,-0.0265133,262.8581,-0.0947713,260.6116,-0.0352678,262.57,-0.1755643,257.9525,-0.2472734,255.5923,-0.184366,257.6628,-0.1935574,257.3603,-0.0784445,261.1489,-0.0166172,263.1838,-0.0634415,261.6427,-0.0402612,262.4056,-0.0760372,261.2282,-0.0165969,263.1845,-0.1097974,260.117,-0.1525148,258.7111,-0.0922135,260.6958,-0.1132054,260.0049,-0.0675913,261.5061,-0.1160894,259.9099,-0.0607243,261.7321,-0.0696555,261.4382,-0.2073377,256.9067,-0.0513714,262.04,-0.085234,260.9255,-0.0285143,262.7923,-0.0510055,262.052,-0.1175034,259.8634,-0.0899698,260.7696,-0.0595536,261.7707
2013,Alabama,0.4889486,0.0125884,0.0876523,14.12032,0.6022388,0.3297912,0.0409113,0.0110943,0.0096105,0.0063539,0.4858059,0.0766363,0,0.5027341,0.4957139,0.001552,0.7822664,0.1557762,0.0540278,0.0079296,-0.2717067,257.4278,-0.2373543,258.5585,-0.1132164,262.6442,-0.3190222,255.8706,-0.2884406,256.8771,-0.2279972,258.8664,-0.3252936,255.6642,-0.135813,261.9005,-0.2461329,258.2695,-0.2560338,257.9437,-0.1993707,259.8086,-0.2417461,258.4139,-0.1672216,260.8667,-0.1415953,261.7101,-0.0841093,263.6021,-0.1519571,261.3691,-0.3290774,255.5396,-0.2743753,257.34,-0.3431576,255.0762,-0.2571922,257.9055,-0.3398359,255.1855,-0.2846797,257.0009,-0.1522485,261.3595,-0.1672233,260.8666,-0.1106833,262.7275,-0.1423294,261.686,-0.2624922,257.7311,-0.2082395,259.5167,-0.2477569,258.2161,-0.2282926,258.8567,-0.2582321,257.8713,-0.2061785,259.5845,-0.1875239,260.1985,-0.137651,261.84,-0.1797816,260.4533,-0.1213311,262.3771,-0.1800459,260.4446,-0.1276943,262.1677,-0.2962397,256.6204,-0.3544607,254.7042,-0.3023125,256.4205,-0.3099337,256.1697,-0.1796749,260.4568,-0.1269371,262.1926,-0.1553307,261.2581,-0.1487133,261.4759,-0.1711348,260.7379,-0.1192207,262.4465,-0.234326,258.6581,-0.2625122,257.7304,-0.2122792,259.3838,-0.2321458,258.7299,-0.1662737,260.8979,-0.2026901,259.6993,-0.15523,261.2614,-0.1624358,261.0242,-0.3238161,255.7128,-0.1607063,261.0811,-0.1808519,260.4181,-0.1320695,262.0237,-0.154018,261.3013,-0.2360464,258.6015,-0.1845175,260.2975,-0.1633331,260.9947
2015,Alabama,,,,,,,,,,,,,,,,,,,,,1.300476,259,1.334808,260.1306,1.458954,264.2163,1.253143,257.4427,1.283722,258.4492,1.344177,260.4386,1.246887,257.2363,1.436371,263.4726,1.32605,259.8417,1.316132,259.5158,1.372803,261.3808,1.330414,259.9861,1.404938,262.4389,1.430573,263.2823,1.488068,265.1743,1.420227,262.9413,1.243103,257.1118,1.297791,258.9122,1.229004,256.6484,1.314972,259.4777,1.23233,256.7577,1.287506,258.573,1.419922,262.9317,1.404938,262.4388,1.461487,264.2997,1.42984,263.2581,1.309692,259.3033,1.363922,261.0889,1.324432,259.7883,1.343872,260.4289,1.313934,259.4435,1.365997,261.1567,1.384644,261.7707,1.434509,263.4121,1.392395,262.0255,1.450836,263.9492,1.39212,262.0168,1.444489,263.7398,1.27594,258.1926,1.217712,256.2764,1.269867,257.9927,1.262238,257.7419,1.392487,262.029,1.445251,263.7647,1.41684,262.8302,1.423462,263.048,1.401031,262.3101,1.452942,264.0187,1.33786,260.2303,1.309662,259.3026,1.359894,260.9559,1.340027,260.3021,1.405914,262.4701,1.369476,261.2715,1.416931,262.8336,1.409729,262.5964,1.248352,257.285,1.411469,262.6533,1.391327,261.9903,1.440094,263.5958,1.418152,262.8734,1.336121,260.1737,1.387665,261.8696,1.408844,262.5669
2003,Alaska,0.4880283,0.1275198,0.1291653,14.04318,0.5789813,0.040593,0.0411426,0.0628148,0.2544554,0.01816,0.1891348,0.0623601,0.0707297,,,,,,,,-0.149578,256.4096,-0.1791647,255.4359,-0.2220471,254.0245,-0.0532092,259.5814,-0.1145021,257.5641,-0.132149,256.9832,-0.149578,256.4096,-0.2147481,254.2647,-0.0957331,258.1818,-0.1486512,256.4401,-0.1653197,255.8915,-0.1791647,255.4359,-0.1396857,256.7352,-0.1828647,255.3141,-0.204928,254.5879,-0.2220471,254.0245,-0.0317952,260.2862,-0.0339313,260.2159,-0.0532092,259.5814,-0.1037606,257.9176,-0.1145021,257.5641,-0.132149,256.9832,-0.1361156,256.8527,-0.1799234,255.4109,-0.199489,254.7669,-0.2147481,254.2647,-0.0804237,258.6857,-0.0820657,258.6316,-0.0957331,258.1818,-0.1401055,256.7214,-0.1486512,256.4401,-0.1653197,255.8915,-0.1126507,257.625,-0.1193343,257.405,-0.1396857,256.7352,-0.1727386,255.6474,-0.1828647,255.3141,-0.204928,254.5879,-0.0188539,260.7121,-0.0317952,260.2862,-0.0339313,260.2159,-0.1037606,257.9176,-0.1156067,257.5277,-0.1201949,257.3767,-0.1361156,256.8527,-0.1705559,255.7192,-0.1799234,255.4109,-0.199489,254.7669,-0.0712217,258.9885,-0.0804237,258.6857,-0.0820657,258.6316,-0.1401055,256.7214,-0.0995926,258.0548,-0.1126507,257.625,-0.1193343,257.405,-0.1727386,255.6474,-0.0188539,260.7121,-0.1051094,257.8732,-0.1156067,257.5277,-0.1201949,257.3767,-0.1705559,255.7192,-0.0712217,258.9885,-0.0995926,258.0548,-0.1051094,257.8732
